Player,Position,Finishing,xG,Positioning,Speed,Strength,Passing,Vision,Aggression,Composure,OffTheBall,PressActions,MarketValue
Raphaël Guerreiro,LB,70.0,0.06,80.0,84.0,70.0,86.0,84.0,74.0,80.0,83.0,10.2,33.6
Marc Cucurella,LB,62.0,0.03,81.0,86.0,74.0,80.0,77.0,78.0,77.0,82.0,12.2,31.8
Pervis Estupiñán,LB,64.0,0.03,80.0,89.0,72.0,78.0,76.0,78.0,76.0,84.0,11.5,33.3
Destiny Udogie,LB,62.0,0.03,78.0,91.0,74.0,76.0,74.0,80.0,75.0,85.0,12.8,33.6
Tyrell Malacia,LB,60.0,0.02,79.0,85.0,76.0,74.0,72.0,80.0,74.0,80.0,12.0,25.4
Sergio Reguilón,LB,64.0,0.03,80.0,88.0,72.0,78.0,76.0,76.0,76.0,83.0,11.2,33.1
Rayan Aït-Nouri,LB,66.0,0.04,79.0,89.0,74.0,78.0,75.0,78.0,76.0,84.0,11.8,30.8
Ian Maatsen,LB,64.0,0.03,78.0,87.0,72.0,78.0,76.0,76.0,75.0,82.0,11.5,25.1
Alex Grimaldo,LB,72.0,0.08,82.0,84.0,70.0,88.0,86.0,74.0,80.0,84.0,10.8,34.9
Joshua Kimmich,CM,72.0,0.08,88.0,74.0,76.0,92.0,90.0,80.0,88.0,82.0,12.5,53.0
Marcelo Brozović,CM,68.0,0.05,86.0,76.0,78.0,88.0,86.0,78.0,84.0,78.0,11.2,50.4
Nicolo Barella,CM,74.0,0.1,84.0,82.0,76.0,86.0,84.0,82.0,82.0,84.0,13.5,53.2
Leon Goretzka,CM,76.0,0.12,84.0,78.0,84.0,82.0,80.0,82.0,80.0,82.0,12.8,44.6
Mateo Kovačić,CM,70.0,0.06,84.0,80.0,74.0,88.0,86.0,76.0,84.0,80.0,11.0,43.7
Alexis Mac Allister,CM,72.0,0.08,84.0,78.0,76.0,86.0,84.0,78.0,82.0,80.0,11.8,36.9
Enzo Fernández,CM,70.0,0.06,84.0,76.0,72.0,88.0,86.0,76.0,82.0,78.0,10.5,49.5
Konrad Laimer (CM),CM,68.0,0.05,82.0,88.0,78.0,80.0,78.0,84.0,78.0,84.0,14.5,35.7
Exequiel Palacios,CM,70.0,0.06,82.0,78.0,74.0,84.0,82.0,80.0,80.0,78.0,12.0,43.3
James Maddison,CAM,78.0,0.14,84.0,76.0,70.0,88.0,88.0,72.0,82.0,82.0,10.0,57.0
Isco,CAM,76.0,0.1,84.0,74.0,68.0,90.0,90.0,70.0,84.0,80.0,9.2,57.2
Fabián Ruiz,CAM,74.0,0.08,84.0,78.0,72.0,88.0,86.0,74.0,82.0,80.0,10.5,42.1
Orkun Kökçü,CAM,76.0,0.1,82.0,76.0,70.0,86.0,84.0,74.0,80.0,78.0,11.0,40.1
Giovani Lo Celso,CAM,76.0,0.1,82.0,78.0,68.0,84.0,84.0,76.0,80.0,80.0,10.8,45.1
Houssem Aouar,CAM,74.0,0.08,82.0,80.0,68.0,86.0,84.0,72.0,80.0,82.0,10.2,39.5
Matheus Nunes,CAM,72.0,0.08,82.0,82.0,74.0,84.0,82.0,76.0,78.0,82.0,11.5,33.4
Charles De Ketelaere,CAM,76.0,0.12,84.0,78.0,70.0,84.0,86.0,72.0,80.0,82.0,10.5,44.3
Teun Koopmeiners,CAM,78.0,0.14,86.0,76.0,76.0,86.0,84.0,78.0,82.0,80.0,11.2,50.2
Moussa Diaby,LW,80.0,0.18,82.0,91.0,72.0,80.0,80.0,76.0,78.0,85.0,11.2,54.0
Raheem Sterling,LW,82.0,0.2,84.0,90.0,70.0,82.0,84.0,74.0,80.0,86.0,10.8,56.7
Cody Gakpo,LW,80.0,0.18,82.0,86.0,76.0,82.0,82.0,76.0,80.0,84.0,11.0,42.2
Noa Lang,LW,78.0,0.16,80.0,88.0,70.0,80.0,80.0,78.0,76.0,84.0,11.5,47.7
Ansu Fati,LW,82.0,0.2,84.0,88.0,68.0,78.0,80.0,74.0,78.0,84.0,10.2,55.9
Samuel Chukwueze,LW,76.0,0.14,80.0,92.0,68.0,76.0,78.0,74.0,76.0,86.0,10.5,41.3
Allan Saint-Maximin,LW,74.0,0.12,78.0,93.0,72.0,76.0,78.0,76.0,74.0,88.0,9.8,46.5
Gabriel Martinelli,LW,80.0,0.18,82.0,90.0,74.0,78.0,80.0,80.0,78.0,86.0,12.0,55.8
Phil Foden (RW),RW,82.0,0.2,86.0,84.0,70.0,86.0,88.0,76.0,84.0,86.0,11.8,58.1
Bernardo Silva (RW),RW,78.0,0.14,86.0,84.0,68.0,88.0,90.0,76.0,87.0,86.0,13.2,56.6
Antony,RW,76.0,0.12,80.0,86.0,68.0,78.0,80.0,76.0,76.0,84.0,11.5,44.7
Jarrod Bowen,RW,80.0,0.18,84.0,86.0,76.0,80.0,82.0,80.0,80.0,86.0,12.5,47.3
Jadon Sancho,RW,78.0,0.14,82.0,88.0,68.0,84.0,86.0,72.0,80.0,86.0,10.8,48.3
Dejan Kulusevski,RW,78.0,0.14,84.0,84.0,74.0,84.0,84.0,76.0,80.0,84.0,11.2,51.6
Ferran Torres,RW,80.0,0.16,84.0,88.0,72.0,80.0,82.0,76.0,78.0,86.0,11.0,55.0
Nicolas Pépé,RW,78.0,0.14,82.0,90.0,70.0,76.0,78.0,74.0,76.0,84.0,10.2,50.3
Julian Brandt,RW,76.0,0.12,84.0,82.0,68.0,86.0,86.0,72.0,82.0,82.0,10.5,49.9
Gelson Martins,RW,74.0,0.1,80.0,92.0,68.0,76.0,76.0,76.0,74.0,86.0,10.8,44.5
Raphael Guerreiro (RW),RW,76.0,0.12,82.0,84.0,70.0,86.0,84.0,74.0,80.0,82.0,10.0,44.6
Casemiro,CDM,64.0,0.04,88.0,72.0,86.0,80.0,78.0,88.0,84.0,76.0,14.8,52.5
Mykhailo Mudryk,LW,76.0,0.14,80.0,94.0,70.0,76.0,78.0,76.0,74.0,86.0,11.2,50.3
Georginio Wijnaldum,CM,72.0,0.08,84.0,78.0,76.0,84.0,82.0,78.0,82.0,82.0,12.0,43.6
Mason Mount,CM,74.0,0.11,83.0,80.0,72.0,85.0,84.0,76.0,81.0,82.0,11.5,41.2
Bruno Fernandes,CM,78.0,0.15,86.0,76.0,74.0,90.0,92.0,78.0,86.0,84.0,10.8,58.3
Jude Bellingham,CM,80.0,0.18,88.0,84.0,82.0,86.0,88.0,80.0,85.0,88.0,13.2,92.5
Federico Valverde,CM,76.0,0.13,85.0,88.0,82.0,84.0,82.0,84.0,83.0,86.0,14.0,68.7
Luka Modrić,CM,72.0,0.09,90.0,74.0,70.0,94.0,95.0,76.0,92.0,82.0,9.5,35.8
Toni Kroos,CM,70.0,0.07,88.0,72.0,72.0,95.0,94.0,74.0,90.0,78.0,8.8,42.3
Frenkie de Jong,CM,70.0,0.08,86.0,80.0,76.0,90.0,88.0,76.0,86.0,84.0,11.2,58.9
Gavi,CM,72.0,0.09,82.0,82.0,74.0,86.0,84.0,82.0,80.0,82.0,13.0,45.7
İlkay Gündoğan,CM,74.0,0.12,86.0,76.0,72.0,88.0,90.0,74.0,88.0,82.0,10.5,38.4
Kevin De Bruyne,CM,78.0,0.16,88.0,78.0,76.0,93.0,94.0,80.0,88.0,86.0,11.0,71.5
Vitinha,CM,72.0,0.10,84.0,78.0,70.0,88.0,86.0,76.0,82.0,80.0,10.8,52.3
Warren Zaïre-Emery,CM,68.0,0.06,80.0,82.0,72.0,84.0,82.0,78.0,78.0,80.0,12.5,38.9
João Neves,CM,66.0,0.05,82.0,80.0,76.0,82.0,80.0,82.0,78.0,78.0,13.8,47.2
Ryan Gravenberch,CM,70.0,0.07,82.0,84.0,78.0,82.0,80.0,80.0,79.0,82.0,12.0,42.8
Curtis Jones,CM,72.0,0.09,82.0,78.0,74.0,84.0,82.0,76.0,80.0,80.0,11.5,36.5
Dominik Szoboszlai,CM,76.0,0.13,84.0,82.0,76.0,86.0,86.0,78.0,82.0,84.0,12.8,54.3
Martin Zubimendi,CM,66.0,0.05,86.0,76.0,80.0,86.0,84.0,82.0,84.0,78.0,13.5,48.7
Mikel Merino,CM,72.0,0.09,84.0,76.0,82.0,84.0,82.0,82.0,82.0,80.0,12.2,44.9
Rodrigo De Paul,CM,70.0,0.08,84.0,80.0,78.0,84.0,82.0,84.0,80.0,80.0,13.0,42.5
Julián Álvarez,CM,78.0,0.14,84.0,86.0,74.0,82.0,84.0,80.0,82.0,86.0,12.5,62.8
Cole Palmer,CM,76.0,0.13,82.0,78.0,70.0,86.0,88.0,74.0,84.0,82.0,10.2,58.4
Nico Williams,CM,74.0,0.11,80.0,92.0,72.0,80.0,82.0,76.0,78.0,84.0,11.8,51.6
Xavi Simons,CM,76.0,0.12,82.0,84.0,70.0,86.0,88.0,74.0,80.0,84.0,11.0,54.7
Joao Felix,CM,80.0,0.16,84.0,82.0,68.0,84.0,88.0,72.0,84.0,86.0,10.5,52.3
Florian Thauvin,CM,74.0,0.11,82.0,80.0,72.0,84.0,84.0,74.0,80.0,80.0,10.8,38.5
Lucas Paquetá,CM,74.0,0.10,84.0,78.0,76.0,86.0,84.0,78.0,82.0,82.0,11.5,46.8
Douglas Luiz,CM,70.0,0.08,84.0,76.0,80.0,86.0,84.0,82.0,82.0,80.0,12.8,47.3
Youri Tielemans,CM,74.0,0.11,84.0,76.0,74.0,86.0,86.0,76.0,82.0,80.0,10.5,42.7
Tanguy Ndombele,CM,72.0,0.09,82.0,80.0,78.0,84.0,82.0,80.0,80.0,82.0,11.8,35.2
Sandro Tonali,CM,68.0,0.06,86.0,82.0,80.0,86.0,84.0,84.0,82.0,82.0,14.0,54.8
Manuel Locatelli,CM,68.0,0.06,84.0,76.0,78.0,84.0,82.0,80.0,82.0,78.0,12.5,43.9
Samu Castillejo,CM,72.0,0.09,82.0,84.0,74.0,82.0,80.0,76.0,78.0,82.0,11.2,32.8
Fabián Ruiz,CM,72.0,0.10,84.0,78.0,76.0,88.0,86.0,78.0,84.0,80.0,11.0,48.5
Denis Zakaria,CM,66.0,0.05,84.0,82.0,84.0,82.0,80.0,84.0,80.0,80.0,13.8,39.7
Renato Sanches,CM,68.0,0.07,80.0,86.0,82.0,80.0,78.0,82.0,76.0,82.0,13.2,28.4
Adrien Rabiot,CM,70.0,0.08,84.0,78.0,80.0,84.0,82.0,80.0,82.0,80.0,12.0,31.5
Houssem Aouar,CM,74.0,0.11,82.0,80.0,72.0,86.0,86.0,74.0,80.0,82.0,10.8,35.9
Boubacar Kamara,CM,66.0,0.05,86.0,78.0,82.0,84.0,82.0,84.0,82.0,78.0,13.5,44.2
Manu Koné,CM,68.0,0.06,82.0,82.0,80.0,82.0,80.0,82.0,78.0,80.0,13.0,41.8
Khéphren Thuram,CM,70.0,0.08,82.0,84.0,78.0,82.0,80.0,80.0,78.0,82.0,12.8,46.5
Teun Koopmeiners,CM,74.0,0.11,84.0,78.0,76.0,86.0,84.0,78.0,82.0,82.0,11.8,48.9
Jerdy Schouten,CM,66.0,0.05,84.0,76.0,82.0,82.0,80.0,82.0,80.0,76.0,13.2,38.6
Tijjani Reijnders,CM,70.0,0.08,82.0,80.0,76.0,84.0,82.0,78.0,80.0,80.0,12.0,45.3
Joey Veerman,CM,68.0,0.06,82.0,74.0,72.0,86.0,84.0,74.0,82.0,78.0,10.5,42.1
Orkun Kökçü,CM,72.0,0.09,82.0,78.0,74.0,84.0,84.0,76.0,80.0,80.0,11.5,44.7
Sergi Darder,CM,70.0,0.08,84.0,76.0,74.0,86.0,84.0,76.0,82.0,78.0,10.8,35.4
Granit Xhaka,CM,68.0,0.06,86.0,74.0,82.0,88.0,86.0,82.0,84.0,78.0,12.5,42.8
Exequiel Palacios,CM,70.0,0.08,82.0,80.0,76.0,84.0,82.0,80.0,80.0,80.0,12.2,41.3
Thomas Partey,CM,66.0,0.05,86.0,78.0,84.0,84.0,82.0,84.0,82.0,78.0,13.8,36.9
Kai Havertz,CM,76.0,0.13,84.0,80.0,74.0,84.0,86.0,76.0,82.0,84.0,11.0,53.7
Emile Smith Rowe,CM,74.0,0.11,82.0,82.0,70.0,84.0,84.0,74.0,80.0,82.0,10.5,38.4
James Maddison,CM,76.0,0.14,84.0,78.0,72.0,88.0,90.0,74.0,84.0,82.0,10.2,52.8
Conor Gallagher,CM,70.0,0.08,82.0,84.0,76.0,82.0,80.0,82.0,78.0,84.0,13.5,42.3
Moises Caicedo,CM,66.0,0.05,84.0,82.0,82.0,82.0,80.0,84.0,78.0,80.0,14.2,64.7
Romeo Lavia,CM,64.0,0.04,82.0,80.0,78.0,80.0,78.0,80.0,76.0,78.0,13.0,41.5
Tyler Adams,CM,64.0,0.04,84.0,82.0,80.0,80.0,78.0,84.0,78.0,78.0,14.0,32.7
Yunus Musah,CM,66.0,0.05,80.0,84.0,76.0,80.0,78.0,78.0,76.0,80.0,12.5,35.8
Weston McKennie,CM,70.0,0.07,82.0,80.0,82.0,82.0,80.0,80.0,78.0,82.0,12.8,36.4
Giovani Lo Celso,CM,74.0,0.11,82.0,80.0,72.0,86.0,86.0,76.0,82.0,82.0,10.8,38.9
Leandro Paredes,CM,68.0,0.06,84.0,74.0,76.0,88.0,86.0,78.0,84.0,76.0,10.2,35.6
Guido Rodríguez,CM,66.0,0.05,86.0,76.0,82.0,84.0,82.0,84.0,82.0,76.0,13.5,33.8
Enzo Le Fée,CM,72.0,0.09,82.0,78.0,72.0,86.0,84.0,76.0,80.0,80.0,11.2,44.6
Maxence Caqueret,CM,70.0,0.08,82.0,80.0,74.0,84.0,82.0,78.0,80.0,80.0,12.0,39.7
Amine Adli,CM,74.0,0.11,80.0,84.0,70.0,82.0,84.0,74.0,78.0,82.0,11.5,42.3
Lovro Majer,CM,72.0,0.09,82.0,78.0,72.0,84.0,84.0,74.0,80.0,80.0,10.8,41.8
Angelo Stiller,CM,68.0,0.06,82.0,78.0,76.0,84.0,82.0,78.0,80.0,78.0,11.8,38.5
Christoph Baumgartner,CM,74.0,0.11,82.0,82.0,74.0,82.0,82.0,78.0,80.0,84.0,12.2,45.7
Nicolas Seiwald,CM,66.0,0.05,84.0,76.0,78.0,82.0,80.0,80.0,80.0,76.0,12.5,37.4
Lovro Majer,CM,70.0,0.08,82.0,78.0,72.0,84.0,82.0,74.0,80.0,78.0,11.0,39.6
Brajan Gruda,CM,72.0,0.09,80.0,84.0,70.0,82.0,82.0,76.0,78.0,82.0,11.5,43.2
Tom Krauß,CM,66.0,0.05,82.0,78.0,78.0,80.0,78.0,80.0,78.0,76.0,12.8,35.9
Ellyes Skhiri,CM,66.0,0.05,84.0,78.0,82.0,82.0,80.0,82.0,80.0,78.0,13.2,39.4
Amadou Onana,CM,64.0,0.04,84.0,80.0,86.0,78.0,76.0,84.0,76.0,78.0,14.5,52.3
Marcos Llorente,CM,72.0,0.09,84.0,88.0,80.0,82.0,80.0,82.0,80.0,86.0,13.5,47.8
Gabri Veiga,CM,74.0,0.11,82.0,80.0,72.0,84.0,84.0,76.0,80.0,82.0,11.2,46.3
Yukinari Sugawara,CM,66.0,0.05,82.0,82.0,76.0,80.0,78.0,78.0,78.0,80.0,12.0,34.8
Alejandro Garnacho,CM,76.0,0.13,80.0,90.0,70.0,80.0,82.0,76.0,78.0,86.0,11.5,54.2
Pablo Barrios,CM,68.0,0.06,82.0,80.0,78.0,82.0,80.0,80.0,78.0,80.0,12.8,42.7
Alex Scott,CM,70.0,0.08,82.0,80.0,74.0,82.0,80.0,78.0,78.0,80.0,11.8,38.6
Arthur Vermeeren,CM,66.0,0.05,80.0,78.0,76.0,80.0,78.0,78.0,76.0,78.0,12.5,41.2
N'Golo Kanté,CDM,64.0,0.04,88.0,84.0,82.0,78.0,76.0,86.0,82.0,82.0,16.5,38.4
Fabinho,CDM,62.0,0.03,86.0,74.0,86.0,82.0,78.0,84.0,82.0,74.0,14.2,42.7
Wilfred Ndidi,CDM,62.0,0.03,84.0,78.0,86.0,76.0,74.0,86.0,78.0,76.0,15.8,37.5
Kalvin Phillips,CDM,64.0,0.04,84.0,76.0,82.0,80.0,78.0,82.0,80.0,74.0,14.0,35.8
Maxence Caqueret,CDM,66.0,0.05,82.0,78.0,78.0,82.0,80.0,80.0,80.0,76.0,12.5,38.9
Ibrahim Sangaré,CDM,62.0,0.03,84.0,76.0,88.0,78.0,76.0,84.0,78.0,74.0,15.2,41.3
Edson Álvarez,CDM,64.0,0.04,86.0,78.0,86.0,80.0,78.0,86.0,82.0,76.0,14.8,46.2
Sofyan Amrabat,CDM,64.0,0.04,84.0,78.0,82.0,80.0,78.0,84.0,80.0,76.0,13.8,38.7
Cheick Doucouré,CDM,62.0,0.03,82.0,82.0,84.0,76.0,74.0,82.0,76.0,78.0,14.5,34.6
Pierre-Emile Højbjerg,CDM,64.0,0.04,84.0,76.0,82.0,80.0,78.0,82.0,80.0,76.0,13.5,39.8
Palhinha,CDM,62.0,0.03,88.0,74.0,88.0,78.0,76.0,88.0,84.0,72.0,16.0,54.3
Tyler Adams (CDM),CDM,62.0,0.03,84.0,80.0,80.0,78.0,76.0,82.0,78.0,78.0,14.5,32.4
Wataru Endo,CDM,62.0,0.03,86.0,76.0,82.0,78.0,76.0,84.0,80.0,74.0,14.8,36.7
Manuel Ugarte,CDM,64.0,0.04,84.0,80.0,82.0,80.0,78.0,84.0,80.0,78.0,15.0,48.5
Exequiel Palacios (CDM),CDM,66.0,0.05,82.0,78.0,78.0,82.0,80.0,80.0,80.0,76.0,12.8,39.6
Marten de Roon (CDM),CDM,62.0,0.03,86.0,74.0,84.0,80.0,78.0,84.0,82.0,72.0,13.5,34.8
Danilo Pereira,CDM,62.0,0.03,86.0,72.0,88.0,78.0,76.0,82.0,82.0,70.0,14.0,35.9
Javi Galán,CDM,64.0,0.04,82.0,82.0,80.0,78.0,76.0,80.0,78.0,78.0,13.2,34.2
Saúl Ñíguez,CDM,66.0,0.05,82.0,78.0,82.0,80.0,78.0,80.0,80.0,78.0,12.8,33.7
Seko Fofana,CDM,68.0,0.06,82.0,80.0,82.0,80.0,78.0,82.0,78.0,80.0,13.0,38.5
André Gomes,CDM,64.0,0.04,82.0,76.0,78.0,82.0,80.0,78.0,80.0,76.0,11.5,32.6
Morgan Sanson,CDM,66.0,0.05,80.0,80.0,76.0,80.0,78.0,78.0,78.0,78.0,12.2,31.8
Nemanja Matić,CDM,60.0,0.02,88.0,68.0,84.0,82.0,80.0,82.0,86.0,70.0,12.0,28.5
Oriol Romeu,CDM,60.0,0.02,84.0,70.0,82.0,78.0,76.0,82.0,80.0,70.0,13.5,29.7
Jorginho,CDM,62.0,0.03,86.0,70.0,76.0,84.0,82.0,78.0,84.0,72.0,11.8,34.9
Sander Berge,CDM,64.0,0.04,82.0,78.0,84.0,78.0,76.0,80.0,78.0,76.0,13.0,36.4
Lewis Cook,CDM,64.0,0.04,82.0,76.0,76.0,82.0,80.0,78.0,80.0,74.0,12.0,33.5
Harry Winks,CDM,62.0,0.03,82.0,76.0,72.0,84.0,82.0,74.0,80.0,74.0,10.8,30.2
Sambi Lokonga,CDM,64.0,0.04,80.0,78.0,78.0,80.0,78.0,78.0,76.0,76.0,12.5,35.7
Stanislav Lobotka,CDM,62.0,0.03,84.0,78.0,78.0,84.0,82.0,78.0,82.0,74.0,11.5,43.8
Amadou Onana (CDM),CDM,64.0,0.04,86.0,82.0,88.0,80.0,78.0,86.0,78.0,80.0,15.5,52.3
Marcos Acuña,LB,66.0,0.04,81.0,87.0,76.0,80.0,78.0,82.0,78.0,82.0,12.5,37.4
